User_id,Recency,Frequency,Monetary,R,F,M,Group,Score,Loyalty
51448162784,10,2,21500.0,4,4,4,444,12,Platinum
51455512201,64,1,10000.0,3,1,3,313,7,Gold
51462598385,7,2,550.0,4,4,1,441,9,Platinum
51463622150,40,2,950.0,4,4,1,441,9,Platinum
51465529647,10,2,15500.0,4,4,4,444,12,Platinum
51468519074,286,1,2500.0,1,1,2,112,4,Bronze
51472029210,194,1,24400.0,1,1,4,114,6,Silver
51477448981,37,1,40000.0,4,1,4,414,9,Platinum
51480378215,59,2,10500.0,3,4,3,343,10,Platinum
51481443687,128,2,4250.0,2,4,3,243,9,Platinum
51486113570,134,1,2700.0,2,1,2,212,5,Bronze
51508416101,255,1,750.0,1,1,1,111,3,Bronze
51517997197,61,2,12000.0,3,4,4,344,11,Platinum
51526464449,55,2,65000.0,3,4,4,344,11,Platinum
51544071846,68,1,1000.0,3,1,1,311,5,Bronze
51558926605,61,1,3000.0,3,1,2,312,6,Silver
51560282867,195,1,700.0,1,1,1,111,3,Bronze
51565158157,72,3,74000.0,3,4,4,344,11,Platinum
51585704576,345,1,2000.0,1,1,2,112,4,Bronze
51589427926,60,2,1750.0,3,4,2,342,9,Platinum
51592642763,236,2,20000.0,1,4,4,144,9,Platinum
51596197877,59,2,2000.0,3,4,2,342,9,Platinum
51613167885,52,1,60000.0,3,1,4,314,8,Gold
51624877138,186,1,4000.0,1,1,3,113,5,Bronze
51626168971,62,1,45000.0,3,1,4,314,8,Gold
51629142904,110,2,5500.0,2,4,3,243,9,Platinum
51637676508,286,1,15000.0,1,1,4,114,6,Silver
51645696004,62,1,3000.0,3,1,2,312,6,Silver
51676463689,73,2,5000.0,2,4,3,243,9,Platinum
51692749291,69,1,2500.0,3,1,2,312,6,Silver
51692946248,286,1,3000.0,1,1,2,112,4,Bronze
51714485793,164,1,1250.0,2,1,1,211,4,Bronze
51720357111,55,1,2800.0,3,1,2,312,6,Silver
51723980162,286,1,8000.0,1,1,3,113,5,Bronze
51725305614,24,2,4750.0,4,4,3,443,11,Platinum
51746374740,72,1,1800.0,3,1,2,312,6,Silver
51768712908,333,1,2800.0,1,1,2,112,4,Bronze
51777317807,62,1,4500.0,3,1,3,313,7,Gold
51786146119,165,1,500.0,1,1,1,111,3,Bronze
51795247161,287,1,30000.0,1,1,4,114,6,Silver
51821460103,12,1,6000.0,4,1,3,413,8,Gold
51829322973,286,1,7000.0,1,1,3,113,5,Bronze
51840127985,314,1,600.0,1,1,1,111,3,Bronze
51840332148,314,1,2000.0,1,1,2,112,4,Bronze
51849471720,286,1,3000.0,1,1,2,112,4,Bronze
51863353060,255,1,2250.0,1,1,2,112,4,Bronze
51875286469,66,1,1200.0,3,1,1,311,5,Bronze
51883832383,208,1,30000.0,1,1,4,114,6,Silver
51888851862,54,1,1000.0,3,1,1,311,5,Bronze
51892634497,314,1,2000.0,1,1,2,112,4,Bronze
51895612143,60,1,50000.0,3,1,4,314,8,Gold
51932772204,57,1,2400.0,3,1,2,312,6,Silver
51936108956,164,1,6000.0,2,1,3,213,6,Silver
51940324591,12,2,2500.0,4,4,2,442,10,Platinum
51945183373,256,2,33000.0,1,4,4,144,9,Platinum
51965507652,12,1,4000.0,4,1,3,413,8,Gold
51969791374,57,2,3800.0,3,4,3,343,10,Platinum
51970999139,62,1,24000.0,3,1,4,314,8,Gold
51978529551,58,1,25000.0,3,1,4,314,8,Gold
51993965030,255,1,400.0,1,1,1,111,3,Bronze
52005335676,67,1,4000.0,3,1,3,313,7,Gold
52055074267,62,1,1200.0,3,1,1,311,5,Bronze
52056666335,232,1,14000.0,1,1,4,114,6,Silver
52090547553,59,1,1200.0,3,1,1,311,5,Bronze
52094145973,56,1,1800.0,3,1,2,312,6,Silver
52112239597,60,1,40000.0,3,1,4,314,8,Gold
52114046370,52,1,25000.0,3,1,4,314,8,Gold
52127053360,314,1,700.0,1,1,1,111,3,Bronze
52132350231,73,1,9000.0,2,1,3,213,6,Silver
52146571882,41,1,150.0,4,1,1,411,6,Silver
52157383130,345,1,16000.0,1,1,4,114,6,Silver
52159511316,52,1,25000.0,3,1,4,314,8,Gold
52178524942,255,1,5000.0,1,1,3,113,5,Bronze
52179781847,54,1,300.0,3,1,1,311,5,Bronze
52183942377,164,1,12000.0,2,1,4,214,7,Gold
52202013311,42,1,2000.0,3,1,2,312,6,Silver
52205716885,139,1,400.0,2,1,1,211,4,Bronze
52240234858,64,1,2500.0,3,1,2,312,6,Silver
52246240339,314,1,2500.0,1,1,2,112,4,Bronze
52304321020,11,1,2500.0,4,1,2,412,7,Gold
52304977219,68,1,2000.0,3,1,2,312,6,Silver
52313781035,70,1,1000.0,3,1,1,311,5,Bronze
52320144114,286,1,8000.0,1,1,3,113,5,Bronze
52322653716,69,1,2250.0,3,1,2,312,6,Silver
52331458145,66,1,2000.0,3,1,2,312,6,Silver
52335257008,225,1,2000.0,1,1,2,112,4,Bronze
52340778300,52,1,5000.0,3,1,3,313,7,Gold
52387379385,11,1,6000.0,4,1,3,413,8,Gold
52627455489,41,1,500.0,4,1,1,411,6,Silver
52713090310,194,1,8000.0,1,1,3,113,5,Bronze
52732772360,194,1,3000.0,1,1,2,112,4,Bronze
52752311791,133,1,2700.0,2,1,2,212,5,Bronze
52769802843,101,2,3600.0,2,4,3,243,9,Platinum
52787855576,42,1,160000.0,3,1,4,314,8,Gold
52842945535,133,1,1000.0,2,1,1,211,4,Bronze
52904721877,102,1,1700.0,2,1,2,212,5,Bronze
53156872654,72,1,42000.0,3,1,4,314,8,Gold
53209756433,15,2,22000.0,4,4,4,444,12,Platinum
53209947945,225,1,6000.0,1,1,3,113,5,Bronze
53299207031,102,1,1000.0,2,1,1,211,4,Bronze
53446342803,194,1,500.0,1,1,1,111,3,Bronze
53572384601,41,1,4500.0,4,1,3,413,8,Gold
53593337921,72,1,3400.0,3,1,3,313,7,Gold
53617353246,41,1,1500.0,4,1,1,411,6,Silver
53649822812,38,2,2700.0,4,4,2,442,10,Platinum
53652969521,194,1,90000.0,1,1,4,114,6,Silver
53654005940,102,1,1000.0,2,1,1,211,4,Bronze
53713888319,72,1,1650.0,3,1,2,312,6,Silver
53966220604,42,2,800.0,3,4,1,341,8,Gold
54068495712,41,1,1260.0,4,1,1,411,6,Silver
54081180520,102,1,1250.0,2,1,1,211,4,Bronze
54160504190,194,1,750.0,1,1,1,111,3,Bronze
54340210344,164,1,12000.0,2,1,4,214,7,Gold
54442238798,72,1,1850.0,3,1,2,312,6,Silver
54447852002,72,2,3100.0,3,4,3,343,10,Platinum
54624656999,11,1,7500.0,4,1,3,413,8,Gold
54938485256,102,1,5000.0,2,1,3,213,6,Silver
55025507925,41,2,2500.0,4,4,2,442,10,Platinum
55162718788,41,1,600.0,4,1,1,411,6,Silver
55237981670,72,1,1300.0,3,1,1,311,5,Bronze
55343474855,102,2,10900.0,2,4,4,244,10,Platinum
55349718167,156,1,300.0,2,1,1,211,4,Bronze
55477444723,194,1,500.0,1,1,1,111,3,Bronze
55488853063,280,1,1000.0,1,1,1,111,3,Bronze
55538327311,41,1,18000.0,4,1,4,414,9,Platinum
55660418761,128,1,7000.0,2,1,3,213,6,Silver
55795626852,41,1,1270.0,4,1,1,411,6,Silver
55817701891,31,1,85000.0,4,1,4,414,9,Platinum
56016671367,102,1,10000.0,2,1,3,213,6,Silver
56181373546,72,1,2000.0,3,1,2,312,6,Silver
56295462878,41,2,30450.0,4,4,4,444,12,Platinum
56348505101,72,1,45000.0,3,1,4,314,8,Gold
56734081898,164,1,2000.0,2,1,2,212,5,Bronze
57121677041,41,1,450.0,4,1,1,411,6,Silver
57181419152,133,1,2500.0,2,1,2,212,5,Bronze
57253954514,11,1,1250.0,4,1,1,411,6,Silver
57297515705,194,1,9000.0,1,1,3,113,5,Bronze
57326081828,225,1,16000.0,1,1,4,114,6,Silver
57342441069,41,1,13500.0,4,1,4,414,9,Platinum
57500609913,102,1,50000.0,2,1,4,214,7,Gold
57574752442,164,1,7500.0,2,1,3,213,6,Silver
57767840151,37,2,7000.0,4,4,3,443,11,Platinum
57828063559,11,1,2000.0,4,1,2,412,7,Gold
57851680477,1,2,1700.0,4,4,2,442,10,Platinum
57915402788,72,1,750.0,3,1,1,311,5,Bronze
58055328154,41,1,700.0,4,1,1,411,6,Silver
58113870922,277,1,9600.0,1,1,3,113,5,Bronze
58481913506,72,2,65500.0,3,4,4,344,11,Platinum
58559504289,41,1,6500.0,4,1,3,413,8,Gold
58653489700,41,1,250.0,4,1,1,411,6,Silver
58749258284,41,1,35000.0,4,1,4,414,9,Platinum
58974674178,133,1,2000.0,2,1,2,212,5,Bronze
59270627446,41,1,350.0,4,1,1,411,6,Silver
59275285732,72,1,30000.0,3,1,4,314,8,Gold
59526755891,11,1,1500.0,4,1,1,411,6,Silver
59533420690,72,2,2900.0,3,4,2,342,9,Platinum
59589745593,11,1,3000.0,4,1,2,412,7,Gold
59629862188,164,1,5200.0,2,1,3,213,6,Silver
59713929100,164,1,6000.0,2,1,3,213,6,Silver
59737632719,72,1,35000.0,3,1,4,314,8,Gold
59839573750,102,1,1200.0,2,1,1,211,4,Bronze
59916849754,102,1,3000.0,2,1,2,212,5,Bronze
60029406377,164,1,3000.0,2,1,2,212,5,Bronze
60034334067,41,1,35000.0,4,1,4,414,9,Platinum
60089394505,41,1,13000.0,4,1,4,414,9,Platinum
60238282834,11,3,3700.0,4,4,3,443,11,Platinum
60302643179,41,2,4300.0,4,4,3,443,11,Platinum
